carId,commonsFile,flip
honda-civic-si,File:25 Honda Civic Si.jpg,y
ford-f-150-raptor,"File:2021 Ford F-150 Raptor, front.jpg",y
lamborghini-aventador-svj,File:Lamborghini Aventador SVJ 13.jpg,y
plymouth-hemi-cuda,File:1970 Plymouth Hemi 'Cuda (31006971013).jpg,y
tesla-model-s-plaid,File:22 Tesla Model S Plaid.jpg,y
mazda-mx-5-miata,"File:Mazda MX-5 (ND), Bangladesh. (34324761505).jpg",y
toyota-gr86,"File:2022 Toyota GR86 Premium in Halo, Front Right, 09-27-2022.jpg",n
porsche-911-carrera-s,File:Porsche 992 Carrera S coupe IMG 5832.jpg,n
lotus-emira,File:Den Lotus Emira 2.0 i4 SE gibt's bei Lotus St. Gallen (2026).jpg,y
ferrari-f430,File:Ferrari ABA-F430 F430 (23112610123).jpg,n
ferrari-458-italia,File:2011 Ferrari 458 Italia 3.jpg,n
lamborghini-murcielago-lp640,File:Lamborghini Murcielago LP640 LC23.jpg,n
lamborghini-temerario,File:Lamborghini Temerario.jpg,n
mclaren-765lt,File:2020 McLaren 765LT 4.0.jpg,n
lexus-is-300,"File:2021 Lexus IS 300 AWD, front 3.26.21.jpg",y
mercedes-benz-c-300,File:Mercedes-Benz C 300 d AMG Line (W 206) – f 10032024.jpg,y
rolls-royce-wraith,"File:Rolls-Royce Wraith (II) Washington DC Metro Area, USA (1.2).jpg",y
lexus-lc-500,File:Lexus LC 500 URZ100 Nightfall Mica.jpg,y
bmw-m5-competition,"File:BMW M5 Competition (F90) Washington DC Metro Area, USA.jpg",y
mercedes-amg-gt-r,"File:Mercedes-AMG GT R Coupé (C190, 2021) (52229185921).jpg",y
aston-martin-dbs-superleggera,File:Aston Martin DBS Superleggera Filderstadt 1Y7A4897.jpg,n
ferrari-812-superfast,File:Ferrari 812 Superfast IMG 8829.jpg,y
ferrari-12cilindri,File:2025 Ferrari 12Cilindri 3.jpg,n
dodge-charger-sxt,"File:2019 Dodge Charger SXT in B5 Blue Pearl, Front Right, 05-21-2022.jpg",n
ford-mustang-289,"File:1967 Ford Mustang Hardtop in Dark Moss Green Poly, Front Left, 04-28-2023.jpg",y
